,Tweets,Cluster
16,Ela merece nosso respeito; ela ama o Brasil igual a nós; e luta pela democracia igual a nós; que Deus abençoe ela por tudo que está fazendo por nós; vamos ganhar essas eleições com honras e glórias com fé em Deus; Lula é o cara certo; para as horas incertas. VOTE PELO AMOR.,positive
17,"Hj foi dia de levarmos a mensagem do presidente Lula as ruas de São Gonçalo, numa grande carreata ao lado do meu amigo e ex-prefeito de Niterói, 
@_RodrigoNeves_
! 

A receptividade do povo nos encheu de energia p/ seguirmos firmes nestes dias que antecedem as eleições! #Lula13",positive
18,"Não é uma questão de estar ""em campanha por Lula"". É muito mais do que isso: está-se a lutar pela preservação do Estado Democrático de Direito e contra o fascismo. É isso o que Lula (13) representa nestas eleições: A DEFESA DA DEMOCRACIA e a recusa do fascismo.",negative
19,Estava pensando em votar 13 depois dessa estou com medo do Lula roubar meu amor ,positive
20,Tb .. roubando as propagandas nas rádios do Bolsonaro ..,positive
21,"O temor em Brasília com o ""day after"" das eleições

Um dos receios é o de que placar apertado dê munição para Bolsonaro reforçar artilharia contra urnas

Ministros do STF, do TCU, do TSE e generais também têm outras preocupações

Na coluna 
@malugaspar
:",negative
22,"Calma, tudo tem um timing. Não sejamos emocionados, o nosso foco agora é convencer isentão e quem está em dúvida a apoiar Bolsonaro. Todo o resto é pra depois das eleições!!!",positive
23,"CHEGA, já BASTA!! Essas eleições não tem mais legitimidade. A CHAPA LULA DEVE SER CASSADA!!

Alexandre de Moraes PRECISA SER DEPOSTO, julgado e condenado pelos CRIMES ABSURDOS cometidos contra a nação brasileira.",positive
24,"Especialista diz que Lula não vai a debates evitar gafes 

A comentarista Deise da Jovem Pan comentou sobre a fuga de Lula dos debates. Em resumo, a jornalista disse que acredita que não seja uma estratégia para vencer as eleições, mas sim evitar novas gafes do petista.",negative
25,"Seu candidato está mais preocupado em ganhar as eleições ou melhorar o Brasil? 

EU VOTO EM QUEM TEM PLANO DE GOVERNO.

Por isso meu voto é Lula! #LulaPresidente1⃣3⃣ #LulaPresidente2022",positive
26,"Bolsonaro pode até falar palavrões é olha que ele está se policiando mais no tocante a isso, mas NÃO é o cabeça do maior esquema de corrupção do nosso país.  Não foi @jairmessiasbolsonaro
que saiu da cadeia através de uma manobra política para vir concorrer as eleições.",negative
27,A melhor forma pra evitar fraude nestas eleições é colocar #Lula e #Bolsonaro numa sala e aplicar pra ambos a prova do ENEM. Quem tirar a maior nota é eleito. #Eleicao2022,positive
28,"Não existe a possibilidade de Lula ganhar as eleições. Os brasileiros não permitirão em circunstância alguma, mesmo com urnas fraudadas, o Lula será rejeitado pelo pelo Brasil VERDE e AMARELO.
Os Brasileiros não são Comunistas, os Militares não são vermelhos.
Lula está fora.",positive
29,#Lula #Lula2022 #ForaBolsonaro #ForaBozo #BolsonaroGenocida #Eleições #Eleicoes2022,positive
30,Bolsonaro,positive
31," VIRADA? PESQUISAS NOS ESTADOS DO BRASIL MOSTRA CRESCIMENTO DO PRESIDENTE JAIR BOLSONARO EM 15 DELES EM RELAÇÃO AO PRIMEIRO TURNO, JÁ O EX-PRESIDENTE LULA APARECE COM ESTAGNAÇÃO O QUE TERIA BATIDO O SEU TETO. ABSTENÇÕES E REGIÃO SUDESTE SERÁ CRUCIAL PARA DEFINIR AS ELEIÇÕES.",positive
32,"Sejam bem vindos ao plantel que deseja moralizar este país, e sem dúvidas os senhores farão a diferença. Tenho grande admiração por vocês! Meu maior desejo seria o Bolsonaro ganhar as eleições e colocar os dois no STF, só pra ver a cara daqueles marginais!",negative
33,"Só do Lula está disputando essas eleições já é um afronte, a atuação da mídia, da classe ""artística"", apoio dos jovens, olha.. Esse país está condenado.",negative
34,"gente eu tenho um anuncio a fazer durante o ano todo eu sonhei com as eleições e sempre dava um empate entre Lula e Bozo, tanto q no 1º turno deu pro 2º, só q hj sonhei q o Lula ganhava e mto bem até. Então era só isso q eu quis dizer.",negative
35,"As eleições 2022 serão decididas no dia 30 de outubro, último domingo do mês. Lula (PT) e Jair Bolsonaro (PL) disputam o cargo de presidente da República.

https://link.jornalcorporativo.com.br/3FvNCI",positive
36,"passo mal que a tebet foi MTO esperta nessas eleições, conquistou um monte de voto primeiro como terceira via e dps como apoiadora do lula, os esquerdidas de tiktok nem desconfiam que ela eh uma versão feminina do temer",negative
37,"Se o Lula ganhar as eleições eu espero que ele comece a investir em quebrar o Denuvo, pq isso tá prejudicando a pirataria no Brasil.",positive
38,"A esquerda está preparada pra votar em Simone Tebet em 2026 kk? Eu acho real que ela pode ser lançada. Saiu bem dessas eleições e deve ser Ministra do Governo Lula, teria uma candidatura competitiva.",negative
39,"Entregou, Julia. Esse pesadelo nem era pra ter começado. O PT insistiu na fraude q era a possibilidade do Lula ser candidato, e depois insistiu em outra fraude incapaz de ter mais votos q votos brancos na eleição p prefeito. E Ciro transferiu + que 90% dos votos em 2018 p Haddad",negative
40,"Já tô prevendo o primeiro feito do 
@LulaOficial
 aqui em Goiânia quando ganhar as eleições 

Limpar essa poluição visual de adesivos do Bolsonaro pela cidade 

Faz o L 

#ForaBolsonaro #LulaPresidente20221️⃣3️⃣",positive
41,"Vc que nao sabe nem ler uma tabela burro! 9,2 é a distancia entre Lula e Bozo, mas foo a que acertou dentro da margem de erro.",negative
42,"Tarcisio é oq sobrou de bom , e o unico q trara os votos q o Bolsonaro precisa.
O resto são parasitas

Após mandar 'abraço carinhoso', Tarcísio diz que Jefferson tem que 'pagar como criminoso' | Eleições 2022 | O Globo",negative
43,Mulher preta nordestina votando no Bolsonaro em 2018? Parece um depoimento bem verídico! ,negative
44,"Brincadeiras a parte, o ator Jason Momoa declara seu apoio a Lula nas eleições deste ano! Me diz se isso não é um time e tanto pela justiça?

#LulaPresidente13",negative
45,tive um pesadelo que o lula ganhava as eleições,positive
46,TSE determina remoção de site que coletava dados de apoiadores de Bolsonaro para fiscalizar eleições,positive
47,"Ela é contratada pelo PL, o dono é amigo do Bolsonaro e sempreee deu vantagem pra direita, ajustando a pesquisa só no final.",negative
48,"Se tudo é verdade sobre as inserções e o financiamento de fora na campanha do Lula, essas eleições deveriam ser suspensas temporariamente. 
#lula #pt #bolsonaro",positive
49,"Seu desespero mostra quem vai ganhar as eleições. 
Presidente Bolsonaro tem o apoio do povo brasileiro. 
@jairbolsonaro",positive
50,"Ok, msm assim vou no Lula.",neutral
51,"Estou na mesma, minha pequena empresa está sofrendo com a incerteza dessas eleições. Sobrevivemos a pandemia, mas agora não sabemos se sobreviveremos se lula ganhar.",negative
52,Lula na frente,positive
53,"Muitas novidades na Pesquisa Termômetro das Campanhas  (ABRAPEL - Associação Brasileira de Pesquisadores Eleitorais e Ipespe- 36 Anos hoje, além dos votos válidos :

Lula: 50% x 44% Bolsonaro

Qual eleitor tem mais chances de comparecer?!

Veja na live!",positive
54,"gente, Lula nao esta indo a debates pois sabe que vencera as eleicoes, na mao grande, mas vencera...prepare-se Brasil, prepare-se para o que esta vindo por ai...",negative
55,"Lula e Bolsonaro disputam o segundo turno das eleições, que está marcado para o próximo domingo",neutral
56,"Precisamos continuar trabalhando para que o povo vá votar no dia 30, a força do povo brasileiro vai fazer LULA PRESIDENTE DO BRASIL de novo",positive
57,"Tem nada de preocupante, lula vai ganhar e vai ganhar de virada na hora da apuração",positive
58,Judiciário vai votar em Lula? Entenda decisão INÉDITA nas eleições,positive
59,"Só que os caras querem o orçamento secreto. Se Lula combater isso como prometeu, vai levar peia kkkkk",negative
60,"Eu nunca me envolvi em política na vida, mas nesta eleição, estou firme e forte pra tirar Bolsonaro.",positive
61,"Infelizmente o sonho vai virar pesadelo pra ele, depois das eleições Lula vai voltar pra cadeia.",positive
62,Levantamento da Paraná Pesquisas mostra empate técnico entre Lula e Bolsonaro a cinco dias das eleições,positive
63,"#segundoturno #LulaNuncaMais #PenseBem #Eleições #22neles #DependeDeNós #VoteBem 
""Lula indica que MTST terá papel importante em eventual novo governo do PT...""",positive
64,"Na verdade esse é o resultado das eleições para governador, e para o congresso. Enquanto o Lula está fazendo a campanha dele praticamente sozinho, o Bolsonaro está com um verdadeiro batalhão em todas as regiões fazendo a campanha por ele.",positive
65,"Milagrosamente, o Lula saltou de 44 pra 47 na pesquisa deles. Os trouxas, que estão se borrando nas calças, precisam acreditar nessa palhaçada.",positive
66,"Pq o PL partido do bozo, pagou dinheiro pra eles, logo a pesquisa se torna duvidosa, e mesmo assim nela o Lula continua na frente",negative
67,Vc sabia? Bolsonaro fugiu de debates eleitorais e provavelmente irá fugir novamente nas próximas eleições,positive
68,Rádios são acusadas de sabotagem em propagandas de Bolsonaro! “socorro polícia estou sendo roubado”O TSE tem  que investigar e não ameaçar quem denunciou!Quem tem que monitorar inserções para saber se se elas estão sendo feitas dentro da isonomia é o órgão que organiza eleições.,negative
69,Lula 13 ,positive
70,"E no fim, favoreceu o Lula no primeiro turno e botou Bolsonaro 3p pra baixo. E agora?!",neutral
71,"Vai doeruito mais depois do dia 30, lula vai ganhar as eleições, e vcs vão ter que engolir, prepare os copos d'agua!",positive
72,"Lula mantem vantagem as vésperas da eleição, quase. Isso é positivo, mesmo com máquina de mentiras bolsonaristas.",positive
73,"Na reta final das eleições, Paulo Dapé intensifica campanha em prol de ACM Neto e Bolsonaro

Leia mais:

https://queagito.com/na-reta-final-das-eleicoes-paulo-dape-intensifica-campanha-em-prol-de-acm-neto-e-bolsonaro/…

#Queagito #eleições #PauloDapé #ACMNeto #Bolsonaro",positive
74,TSE suspende site dos 'fiscais' de Bolsonaro nas eleições,positive
75,"Tá explicado pq o tse está cancelando todas as verdades sobre a desgraça do pt. Então se o a desgraça do lula ganhar as eleições com xandão quem vai mandar no país é o pcc!!
@Zambelli2210
 que Deus te abençoe e te proteja. Parabéns vc merece mais de 1 milhão de voto.",positive
76,"Eu já fui em uma consulta no médico e ele ficou a consulta inteira falando do lula, e isso foi antes das eleições kkkkkk",negative
77,Cidades onde Lula e Bolsonaro empataram no 1º turno vivem tranquilidade nas ruas e tensão nas redes sociais | Eleições 2022 | G1,neutral
78,"Se o Bolsonaro perder as eleições para o Lula o único responsável será ele mesmo, e será vergonhoso. Afinal como ele mesmo disse em 2018, se ele errasse o PT voltaria.  E tinha razão",positive
79,"Vamos que vamos, vencer com Lula a eleição, pelo bem do povo brasileiro",negative
80,TSE suspende site dos 'fiscais' de Bolsonaro nas eleições,positive
81,"Ô TABLET!!! põe nessa sua cachola uma coisa: quem votou em vc, não qria Bolsonaro e nem Lula, ai vc vai e se alia ao maior bandido que esse país já teve, se torna cúmplice. Seus eleitores estão decepcionados, e não irao te esquecer nas próximas eleições. Pode ter certeza disso.",negative
82,Vocês tão sabendo desse novo golpe da esquerda contra o Brasil? #BolsonaroReeleito #eleicoes #lula,positive
83,"Augusto Nunes, jornalista monetizado da JOVEM PÂNICO, liberou a seguinte informação da ‘mídia que só fala a verdade’ um dia antes das eleições no 1º turno. Diz ele, mãe Dinah, que o bosta do Bolsonaro teria  65 milhões de votos.",neutral
84,"O ator que dá vida ao personagem da DC Comics utilizou seu perfil oficial para declarar apoio ao ex-presidente Lula
#apoio #eleições #política #brasil",positive
85,"""Ainda bem que a natureza criou este mostro chamado coronavirus""
Que disse isso foi vc lula, então admite que vc já perdeu as eleições e não tem como apagar seu passado de ladrão e mentiroso.
#ptnuncamais",negative
86,"Essa aí é a Michele Bolsonaro do PTismo. Mais uma pra ficar na mamata, pro contribuinte ter que sustentar.",negative
87,Vai me dizer que os 'militantes do Lula' são idôneos e insuspeitos para apuração das eleições....do LULA! ,negative
88,Só o Lula pra conseguir fazer a gente voltar pro falecido Face,positive
89,"Vamos esperar as provas da campanha de Bolsonaro sobre as fraudes na veiculação de anúncios.

A gravidade é seríssima e compromete diretamente o resultado das eleições.

A isonomia foi ferida favorável a um candidato, vamos aguardar as provas e ação imediata dos responsáveis.",positive
90,O Plano de Bolsonaro e de Roberto Jefferson Para Sabotar as Eleições,negative
91,"Fica mesmo tranquilo porque depois dessas eleições com Bolsonaro reeleito, nós povo brasileiro vamos exigir a sua prisão, seu ladrão",positive
92,"Vergonha nacional se o Lula ladrão ganhar as eleições, vão ser roubadas, porque é isso que ele sabe fazer.",positive
93,Lula no segundo turno das eleições presidenciais!!,neutral
94,"Ué o Ladrão e seu partido não divulgam nada sobre o que vão fazer no seu governo, isso abre brecha para mim pensar o que bem intender. Se fosse coisa boa eles divulgaram antes das eleições. Mas não estou muito preocupado quanto a isso, mesmo lula ganhando esse projeto não passa.",negative
95,"Mato Grosso do sul e 22 aqui Bolsonaro , duas senadoras traíra nós vamos cuidar nas próximas eleições e não vai ganhar nada aqui .....",negative
96,"Bolsonaro vai ganhar essas eleições seu vagabundo,e vc vai voltar pro lugar de onde não devia ter saído,pra CADEIA que é lugar de gente igual a vc seu bandido.",negative
97,"Eleições na Amazônia contrastam pressão por voto em Bolsonaro e silêncio de eleitores de Lula - ClimaInfo https://climainfo.org.br/2022/10/25/eleicoes-na-amazonia-contrastam-pressao-por-voto-em-bolsonaro-e-silencio-de-eleitores-de-lula/… via 
@GoogleNews",positive
98," 13om dia, companheirada! 5 dias! 

 Hoje, no Jornal PT Brasil, o senador 
@paulopaim
 (PT/RS) fala sobre o calote de Bolsonaro no salário mínimo e aposentados; o deputado reeleito @odaircunham (PT/MG) comenta romaria pela vida em Aparecida, paz nas eleições e muito mais.",positive
99,"COM BOLSONARO E GUEDES: FUZIL E GRANADA NO TRABALHADOR E CLASSE MÉDIA. 

COM LULA É MAIS PICANHA MENOS PISTOLAS",positive
100,Lula não vai ganhar as eleições não queremos um criminoso que financia a ditadura genocida de Cuba é um criminoso que contaminou toda a América Latina nem um voto em Lula,positive
101,Paraná Pesquisas: veja as intenções de voto em Lula e Bolsonaro a 5 dias das eleições,positive
102,"Se o Bolsonaro ganhar

AS DEDUÇÕES DO IMPOSTO DE RENDA VÃO ACABAR

Não é fake news. É mais um dos planos econômicos do governo para cobrir o rombo que fizeram gastando pra tentar comprar as eleições

ESPALHE! ",negative
103,Porque as mentiras de bolsonaro não podem passar em branco. Ele tem que pagar por elas... E vai pagar por elas. Vai pagar nas eleições e vai pagar depois das eleições TB. Não haverá perdão presidencial para genocidas...,positive
104,Sou do centro oeste e eu e toda minha família somos Lula!,negative
105,"Tive um pesadelo, Bolsonaro tinha ganhado as eleições ",positive
106,Finalmente a globo diz a verdade. Bolsonaro na liderança no segundo turno das eleições.,neutral
107,"Tudo armado pra provocar uma possível CASSAÇÃO do candidato Bolsonaro, ao ganhar as eleições. 
Pra eles, eleições não se ganha, se toma.",negative
108,Vou de Lula novamente!,positive
109,"como Felipão disse

""Só tem 2 tipos de pessoas que apoiam o Bolsonaro nessas eleições: o mal informado e o mau caráter""",negative
110,"Á vá!!!
Corrupto do caralho

Bolsonaro agora diz que vai negociar fim do orçamento secreto | Eleições 2022 | O Globo",negative
111,"Versão tupinico-trumpista de tentativa de invalidar as eleições por falsa fraude? Se não provado, o reclamante é que será investigado por fraude eleitoral. Estaria a campanha de Bolsonaro colocando TSE no fogo por um terceiro turno incitando milícia armada a provocar o caos?",positive
112,Se Lula ganhar as eleições vou fazer um torta salgada e outra uma doce e também compro uma caixa de cerveja para os meus amigos comerem e beberem free,negative
113,"Se lula ganhar, prometo escrever DEUS com MAIÚSCULA e acreditar na existência de JESUS CRISTO
Lula se reúne com católicos e diz que padres estão sendo 'atacados' por falar de fome e democracia | Eleições 2022 em São Paulo | G1 https://g1.globo.com/sp/sao-paulo/eleicoes/2022/noticia/2022/10/17/lula-se-encontra-com-lideres-catolicos-em-sao-paulo.ghtml?utm_source=twitter&utm_medium=share-bar-desktop&utm_campaign=materias… 
#LulaPresidente20221️⃣3️⃣",positive
114,"https://m.facebook.com/story.php?story_fbid=pfbid0qRBZCNZUmvsV8vHFut6ThQ3HcGVUKecsu6RgYQuLFk2txHk1F6nR9QKdS3kBki3l&id=100003302161650&sfnsn=wiwspmo….. vote 22 não queiram ser comparado com papel higiênico pra lula, foi lula quem disse que pobre é como papel higiênico usa nas eleições e depois joga fora esquece d pés sujos #LulaNaCadeia perpétua",positive
115,José Sarney declara apoio a Lula no segundo turno das eleições,neutral
116,"Bolsonaro não aprendeu nada!

Por isso vai perder as eleições.",positive
117,Ipec mostra Lula favorito na semana final das Eleições 2022. Roberto Jefferson é indiciado por 4 tentativas de homicídio. Entrevistas com Wálter Maierovitch e Ivan Valente | Despertador 568 • 25/10,negative
118,"Há um complô unindo todo o sistema contra a reeleição de Bolsonaro, isto é claro e notório, por isso, não é absurdo afirmar que não vai acabar bem estas eleições",negative
119,"Na moral,vcs podem apresentar as provas que for,o Moraes não vai aceitar,as eleições já está definida por ele,vai dá ao Lula infelizmente,e nós vamos ficar só olhando, sabemos que o BOLSONARO tá na frente,mas o sistema corrupto instalado no Brasil não vai dá a vitória a ele.",negative
120,O vampiro do PT acha que pode ganhar as eleições censurando propaganda de Bolsonaro no nordeste acorda vocês perderam as eleições na virada de Minas Gerais,positive
121,"""Os meninos estão bem"" ""Vou fazer o que puder"". Bob Jeff, aliado e amigo pessoal de Bolsonaro, não recebeu tratamento de bandido, mas de amigo mesmo! Basta ver a cordialidade dos policiais! Gado desesperado porque PERDEU AS ELEIÇÕES depois desse episódio, hahahahaha!!!!",negative
122,Que a tropa se prepare pois não haverá caos em nosso Brasil mas sim eleições limpas e Presidente Bolsonaro reeleito! Ouvi um sim? ,negative
123,"Eu queria saber se Bolsonaro perder as eleiçoes, sua Sra, a primeira dama de passado duvidoso mantera a fé e o casamento rs",positive
124, GANHANDO OU PERDENDO MEU CORAÇÃO SEMPRE SERA SEU LULA,positive
125,Bolsonaro vai inventar tanto coisa sobre urnas,positive
126,"http://anucieaki.com.br Campanha de Bolsonaro alega que rádios deixaram de veicular inserções da propaganda do presidente; Moraes dá 24h para apresentação de 'provas e/ou documentos sérios' | Eleições 2022 | G1 https://g1.globo.com/politica/eleicoes/2022/noticia/2022/10/24/campanha-de-bolsonaro-alega-que-radios-deixaram-de-veicular-insercoes-da-propaganda-do-presidente.ghtml…, see more https://tweetedtimes.com/SacAnucieaki?s=tnp…",positive
127,"É que na verdade o PT/Lula já canibalizaram o voto cirista na saída, por isso seu desempenho pífio em relação a eleições passadas. Os que restaram com Ciro até o fim do turno foram os mais resistentes ao petismo e divergentes",positive
128,"Às vésperas do segundo turno das eleições, Regina Casé compara a vilã de ""Todas as Flores"" com eleitoras de Bolsonaro",neutral
129,"O que vc queria que ele fizesse? Ficasse a favor desse bang bang que o Roberto Jefferson arrumou, na reta final das eleições? Se o cara estivesse a favor do  Bolsonaro não teria armado esse circo! Permacemos fechados com Bolsonaro dia 30 é  neles!",negative
130,"ɴᴏᴠᴀ ᴅᴇғɪɴɪᴄ̧ᴀ̃ᴏ ᴅᴇ ᴛsᴇ :

T͏r͏a͏n͏s͏g͏r͏e͏s͏s͏a͏̃o͏ S͏o͏́r͏d͏i͏d͏a͏ E͏l͏e͏i͏t͏o͏r͏a͏l͏

Um tribunal partidário, transgressor e sórdido como esse, está envergonhando o país e descredibilizando as eleições!
@TSEjusbr
#Bolsonaro
#CensuraNão
#VERGONHA 
#Fraude",positive
131,"O cara que é preto e contra cotas , gay e a favor do homofóbico racista. Por isso que perdeu as eleições e agora tá aí querendo bajular o Bolsonaro. É de onde menos se espera que não vem nada mesmo.",negative
132,"Falta pouquíssimos dias para as eleições, e se tem uma coisa que eu gostaria de dizer é:

Vote 13.

Você não precisa gostar do Lula, e sim, pensar e repensar no melhor para o nosso país, para o nosso BRASIL! 

FORA GENOCIDA!

FORA HOMOFOBICO!

FORA RACISTA!

FORA BOLSONARO!",negative
133,"lembrando que no primeiro turno as pesquisas cravaram no resultado das eleições pro Lula, mas na questão do bolsoanro os bolsominions se esconderam no Ciro, AGR n tem mais do voto envergonhado, se tiver é nulo",neutral
134,sei nao mas acho q o lula leva essas eleições,positive
135,"ELEIÇÕES 2022 - Emissoras de Rádio deixaram de veicular 154 mil inserções da campanha de Bolsonaro no 2º turno, denuncia ministro Fábio Faria

https://1001noticias.com.br/noticias/politica/eleiCOes-2022-----emissoras-de-radio-deixaram-de-veicular-154-mil-insercoes-da-campanha-de-bolsonaro-no-2-turno-denuncia-ministro-fabio-faria.html…",neutral
136,"mas para o rebanho ""Irrul, Bolsonaro bateu na mesa! TSE corrupto, olha o medo aí! Por isso já tão fraudando as eleições!""",positive
137,"Isso é desespero desse ministro de quinta categoria, já deve estar prevendo a derrota e quer tumultuar as eleições. Não tem jeito, agora é Lula 13!!!!!",positive
138,"Aposta; 

EM QUANDO TEMPO CIRO NOGUEIRA VAI MUDAR DE LADO E VOLTAR A APOIAR OS ESQUERDISTAS 

1 - Em 30 de outubro, 1 minuto após oficializar a eleição do lula
2 - Em 31 de outubro (dia seguinte as eleições)
3 - Em 01 de janeiro de 2023 (as 00:01 AM)

Deixem suas respostas abaixo",positive
139,"Repassem o máximo q puderem esses vídeos, fotos e hashtag, vamos divulgar as verdades dessas eleições, ladrão ñ
#bolsonarodia30
#BolsonaroReeleito
#BolsonaroPresidente22
#Bolsonaro22
#bolsonaro
#ForaLula
#FORAPT
#LulaNuncaMais
#LulaLadraoSeuLugarENaPrisao
#lulavailheenganardenovo",positive
140,"O TRE manda arrancar adesivos TD que fala do BOLsonaro mas carros oficiais  TRE/TSE pode transporta adesivos do Lula vcs ainda tem dúvida q/as eleições serão tomadas  teu voto não valeu de nd com disse o iluministro ""eleições não se vence se toma"" TDS querem o ladrão e quadrilha",negative
141,"Lula vai perder as eleições. Minha opnião sobre o resultado das eleições:
Bolsonaro 48,3%
Lula 47,6%
Nulos/Brancos: 4,9%
Compartilhem sua opnião aqui também!",positive
142,"É que juntaram o Centro-Oeste com o Norte, onde o Lula tem grande vantagem. Uma jogada...",negative
143,"Esse fds uma querida me chamou pra tomar café e conversar sobre as eleições, pq ela estava INDECISA sobre Lula e Bolsonaro. Foi maravilhoso conversar com alguém disposto a ouvir e que deve me achar relativamente sensata, por querer ouvir oq eu tinha a dizer! kk
Ela vai de 13!!!",negative
144,A narrativa da fraude nas eleições já está em curso. Confirmam-se os resultados das pesquisas divulgadas. O Bolsonaro encurralado vai sair pela via do golpe. Agora perderão mais alguns milhões de votos. Porque nem todo bolsonarista é golpista.,positive
145,"Velho Mula vencendo essas eleições, o  mérito terá  sido dus companheiro.  Bolsonaro vencendo será uma obra de Deus e de todos os patriotas que amam essa Nação.",negative
146,"Cara, amanhã é o último dia de eleições. A galera não se ligou disso ainda.

Se o FF não provar essa acusação, Bolsonaro perde. Se provar, PT além de perder, afundará pra todo sempre.

Acabou.",negative
147,"Sejamos diretos, o Lula ganhou e o merdinha do genocida está tentando melar as eleições.
Quem compactuar com isso será preso e essa gentinha da 
@JovemPan
 é um bando de cuzão. (rs)
Bolsonarista = covarde.

#bolsonaropedofilo #BolsonaroPervertido",positive
148,"Sabe antes era tudo feito por de baixo dos panos aí vem o Bolsonaro expõem tudo isso, todas safadezas das eleições. Expor isso e ainda tem pessoas que apoia esse tipo de eleições, e triste quanto menos transparência e veracidade e melhor pra robalheiras!",negative
149,Lideranças de acampamentos no DF declaram apoio a Bolsonaro no 2º turno - Notícias - R7 Eleições 2022,neutral
150,"O Bob se ofereceu pra boi de piranha pra criar uma cortina de fumaça no escândalo de desindexação do salário e da aposentadoria da inflação, garantido pelo sinistro da Fazenda, se o Bolsonaro ganhar as eleições, causando impacto e estrago muito grandes...",positive
151,"Essas eleições não tem mais legitimidade. 
A CHAPA LULA DEVE SER CASSADA!

Alexandre de Moraes PRECISA ser DEPOSTO, julgado e condenado pelos crimes ABSURDOS cometidos contra nação brasileira.",positive
152,"Isso pq do lado do bolsonaro ainda tem. Rivaldo, Ronaldinho Gaucho, Kaka, Thiago Silva... E por ai vai",negative
153,Bolsonaro em todas as eleições cresceu na reta final. Aguarde,positive
154,Central avisa que agora vai ser 85% no Piauí para o Lula.,neutral
155,"IBIRAJUBA NOTÍCIAS: ELEIÇÕES 2022: LULA CONTINUA LIDERANDO CORRIDA ELEITORAL NO 2° TURNO

http://ibirajubanoticias.com.br/2022/10/eleicoes-2022-lula-continua-liderando.html?spref=tw…",neutral
156,"OU SEJA: DEPOIS DAS ELEIÇÕES COM VITÓRIA DE LULA, VAI TER GASTOS PRA FAZER UM PUCHADÃO EM BANGU!",positive
157,"@RomeuZema
 denúncia grave. Isso é puro desespero de quem sabe que já perdeu as eleições. 
Bolsonaro 22 reeleito",positive
158,Talvez tenha a ver com o fato de que o Lula sempre teve uma boa recepção dentro da elite intelectual/cultural. Se pegarmos os dados das eleições de 2002 e 2006 da pra perceber essa mudança no eleitorado. Acho que esses bairros podem ser considerados o núcleo dessa elite.,negative
